Id;ESTADO;LONGITUD_1;LATITUD;LUGAR;DIRECCION;TIPO_DE_RE
0;WIFI  ABIERTO;"70° 39' 57.707"" W";"33° 33' 55.447"" S";PLAZA SANTA ELENA;SANTA ELENA CON LOS RAULIES;PLAZA
1;WIFI  ABIERTO;"70° 39' 52.197"" W";"33° 33' 24.025"" S";PLAZA LO LILLO;ALEJANDRO GUZMAN CON ELEUTERIO RAMIREZ;PLAZA
2;WIFI  ABIERTO;"70° 41' 1.356"" W";"33° 32' 38.316"" S";PLAZA 4 DE SEPTIEMBRE;PASAJE 32 CON PASAJE 14;PLAZA
3;WIFI  ABIERTO;"70° 40' 27.784"" W";"33° 34' 54.043"" S";PLAZA LOS VOLCANES;LAS PARCELAS CON VECINAL ORIENTE;PLAZA
4;WIFI  ABIERTO;"70° 39' 56.040"" W";"33° 33' 22.707"" S";MUNICIPALIDAD DE EL BOSQUE;ALEJANDRO GUZMAN 735;MUNICIPAL
5;WIFI  ABIERTO;"70° 39' 48.098"" W";"33° 33' 25.922"" S";CENTRO CIVICO;ELEUTERIO RAMIREZ  12264;MUNICIPAL
6;WIFI  ABIERTO;"70° 41' 14.282"" W";"33° 34' 13.508"" S";CASA DE LA CULTURA;GRAN AVENIDA 12552;MUNICIPAL
7;WIFI  ABIERTO;"70° 40' 25.803"" W";"33° 32' 50.160"" S";JUZGADO DE POLICIA LOCAL;JOSE DOMINGO GOMEZ 342;MUNICIPAL
8;WIFI  ABIERTO;"70° 39' 58.339"" W";"33° 33' 15.296"" S";CENTRO GERONTOLOGICO;BAQUEDANO 11015;MUNICIPAL
9;WIFI  ABIERTO;"70° 40' 34.402"" W";"33° 33' 2.352"" S";DIRECCION DESARROLLO, INNOVACION Y EMPRENDIMIENTO;GENERAL KORNER 286;MUNICIPAL
10;WIFI  ABIERTO;"70° 40' 52.636"" W";"33° 34' 48.044"" S";ESTADIO LO BLANCO;LO BLANCO;MUNICIPAL
